Fecha,ID_de_trampa,Zona,Coordenada_Este,Coordenada_Norte,Responsable_de_captura,Otros_responsables,Longitud_total,Longitud_de_cola,Altura,Sexo,Edad,Color,Patron,Gris,Negro,Pardo,Amarillo,Naranja,Blanco,Peso,Condicion_corporal,Altitud,Fase,Estado_de_salud,Estado_reproductivo,Contenido_estomacal_notas,Contenido_estomacal_plumas,Contenido_estomacal_pelos,Contenido_estomacal_insectos,Contenido_estomacal_plantas,Contenido_estomacal_desperdicios,Contenido_estomacal_inorganico,Observaciones
03/Nov/2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,cria,gris tigre,atigrado,1,0,0,0,0,0,1.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Nov/2017,NA,1,375823,3197653,NA,NA,NA,NA,NA,H,adulto,negro,solido,0,1,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/Nov/2017,NA,1,NA,NA,NA,NA,46,22,25,H,juvenil,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/Nov/2017,NA,1,NA,NA,NA,NA,NA,NA,NA,H,adulto,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/Nov/2017,TC-01-194-JA,1,377963,3199161,NA,NA,50,30,28,M,adulto,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/Nov/2017,TC-01-101-TR,1,376213,3199105,NA,NA,NA,NA,NA,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,4,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/Nov/2017,TC-01-197-JA,1,377379,3199587,NA,NA,51,28,25,M,adulto,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/Dic/2017,TC-01-100-TR,1,376134,3198945,NA,NA,67,26,27,H,juvenil,negro,solido,0,1,0,0,0,0,2.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/Dic/2017,TC-01-100-TR,1,NA,NA,NA,NA,51,28,26,M,adulto,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/Ene/2018,TC-01-101-TR,1,376134,3198945,NA,NA,73,29,28,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.1,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/Ene/2018,TC-01-123-SF,1,376213,3199105,NA,NA,72,27,28,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.2,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/Ene/2018,TC-01-115-SF,1,377318,3198713,NA,NA,27,27,27.5,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,3.5,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/Ene/2018,TC-01-102-TR,1,378777,3197805,NA,NA,60,22,22.5,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14/Ene/2018,TC-01-112-SF,1,376372,3199292,NA,NA,83,34,31,M,adulto,gris tigre,atigrado,1,0,0,0,0,0,4.6,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/Ene/2018,TC-01-102-TR,1,378522,3198255,NA,NA,70,27,25,H,adulto,gris tigre,atigrado,1,0,0,0,0,0,2.9,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23/Ene/2018,TC-01-124-SF,1,376372,3199292,NA,NA,69,26,24,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,3,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26/Ene/2018,TC-01-106-SF,1,377115,3198799,NA,NA,71,27,26,H,juvenil,gris tigre,atigrado,1,0,0,0,0,0,2.6,NA,NA,erradicacion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
